Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
2413,WhiteMage,https://www.fflogs.com/reports/Gt89zaywvYMNFrkP#fight=29&type=damage-done,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,6376.2,1141.3s,5948.5,128.6s,7516.0,142.2s,6327.1,192.0s,5533.6,71.4s,7377.6,286.0s,5759.5,321.1s
2414,WhiteMage,https://www.fflogs.com/reports/32N41qJzrTbWnXjw#fight=10&type=damage-done,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,6374.6,1147.4s,5546.9,130.6s,7080.9,143.5s,5840.1,194.0s,7590.4,71.6s,6983.2,286.1s,6219.3,321.6s
2415,WhiteMage,https://www.fflogs.com/reports/PKY4tBXQwpgdzJGx#fight=4&type=damage-done,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,6374.6,1134.4s,5539.3,129.6s,7422.1,140.4s,6253.0,190.1s,6069.5,71.6s,7142.8,286.0s,6055.8,316.7s
2416,Astrologian,https://www.fflogs.com/reports/mFcGjXTdgHD7Nn8B#fight=3&type=damage-done,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,6373.7,1144.8s,6002.9,129.8s,6116.2,144.5s,6344.0,192.0s,5475.1,71.6s,7094.8,286.1s,6480.6,320.9s
2417,WhiteMage,https://www.fflogs.com/reports/Q3GL8Ch7R9bH1qvW#fight=4&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,6371.6,1143.4s,6155.0,128.0s,7504.9,142.6s,6332.2,193.5s,5233.9,71.6s,6964.5,286.0s,5930.0,321.8s
2418,WhiteMage,https://www.fflogs.com/reports/zCaXq2bgZdnwQxL1#fight=10&type=damage-done,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,6369.5,1143.2s,6236.9,126.9s,7318.7,144.2s,6019.4,191.1s,5938.6,71.8s,6645.8,285.9s,6170.5,323.2s
2419,Astrologian,https://www.fflogs.com/reports/a:yqkvtMrBRQYbXLWh#fight=9&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,6369.4,1145.0s,5952.7,131.1s,6759.9,143.8s,7074.0,190.5s,4591.5,71.6s,7008.6,286.1s,6009.6,321.8s
2420,Sage,https://www.fflogs.com/reports/paRbHAc8J7XVr3qh#fight=18&type=damage-done,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,6369.1,1137.1s,6508.2,128.3s,6944.1,142.0s,5696.4,188.9s,6449.0,71.6s,7356.6,286.1s,5900.7,320.3s
2421,Astrologian,https://www.fflogs.com/reports/XWc7V4dAB1CYJKah#fight=1&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,6368.3,1138.4s,5584.9,127.8s,6743.8,142.0s,6146.7,191.7s,7821.2,71.6s,7142.5,286.1s,5994.3,319.2s
2422,Scholar,https://www.fflogs.com/reports/vnfHZbM2BrCV3Jht#fight=31&type=damage-done,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,6366.8,1139.2s,5868.3,126.7s,6420.6,144.8s,6391.1,190.5s,6078.6,71.5s,7398.0,285.9s,6067.6,319.8s
