,Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
67,68,Ninja,https://www.fflogs.com/reports/Qn1VHYkytBm9pAMb#fight=22&type=damage-done,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,11668.4,1147.6,10501.9,130.1,11565.8,144.4,11934.8,193.0,9009.1,71.6,13817.7,286.1,11513.9,322.4
68,69,Reaper,https://www.fflogs.com/reports/GjvgBrDb9HLFhamC#fight=7&type=damage-done,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,11666.2,1146.6,10517.1,130.2,11898.7,144.9,10980.9,192.9,12380.1,71.6,12565.8,286.1,11905.3,320.9
69,70,Reaper,https://www.fflogs.com/reports/vTbQ4fyxCGmnLPh9#fight=20&type=damage-done,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,11663.8,1138.0,10791.4,130.2,11562.8,142.2,12033.7,188.8,9974.7,71.6,12766.7,286.1,11669.5,319.2
70,71,Dragoon,https://www.fflogs.com/reports/tfgZkFzn4DPhQrXy#fight=26&type=damage-done,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,11663.7,1143.4,10048.8,129.9,12892.3,143.3,11172.6,190.7,10937.9,71.5,12889.7,286.0,11701.1,321.9
71,72,Reaper,https://www.fflogs.com/reports/cWHzdrCKLMTfGtvQ#fight=37&type=damage-done,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,11660.2,1137.0,11072.5,128.6,11714.3,141.1,11321.9,190.4,12178.7,71.6,12631.7,286.0,11488.8,319.3
72,73,Reaper,https://www.fflogs.com/reports/LDWKxrFPTQZcngdz#fight=8&type=damage-done,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,11659.2,1142.0,10118.3,129.7,11796.7,143.2,11789.2,193.1,10430.2,71.6,12440.3,286.2,12108.4,318.2
73,74,Ninja,https://www.fflogs.com/reports/HYgrh3xMpX1PkqQV#fight=21&type=damage-done,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,11659.0,1145.5,11089.1,129.1,12024.8,143.3,10500.9,193.4,12273.6,71.6,13322.0,286.0,11452.0,322.1
74,75,Ninja,https://www.fflogs.com/reports/aWqH3ANftbKpCPwm#fight=19&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,11655.2,1145.1,10679.0,129.8,11380.5,144.2,11513.1,192.8,8983.8,71.6,13868.9,286.1,11692.0,320.5
75,76,Dragoon,https://www.fflogs.com/reports/awqnk1xPZdvFLcMp#fight=21&type=damage-done,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,11654.5,1142.4,9777.4,130.1,11534.8,143.7,12306.3,188.8,10658.2,71.5,13242.3,285.9,11591.1,322.3
76,77,Ninja,https://www.fflogs.com/reports/vJLWn9CN7rTDwjad#fight=37&type=damage-done,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,11654.5,1142.0,10720.1,126.6,12032.9,144.9,11751.2,191.1,10289.6,71.5,13735.9,286.0,11035.2,321.9
77,78,Monk,https://www.fflogs.com/reports/mkvDfcHF8p7VMLTn#fight=8&type=damage-done,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,11653.7,1137.2,11621.0,125.4,12312.3,142.6,11291.2,191.7,9596.7,71.5,12448.4,285.9,11599.3,320.2
78,79,Reaper,https://www.fflogs.com/reports/Y3GA62jJBMm8D1qL#fight=30&type=damage-done,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,11652.8,1144.3,10193.9,130.3,12715.5,142.8,10555.1,192.4,10464.6,71.5,13064.5,286.1,12052.4,321.1
